times,dyno velocities,alternator currents,battery currents
0,0,0,-87.97758861
1,0,0,-213.0938513
2,0,0,-21.42638506
3,0,0,-21.42638506
4,0,0,-21.42638506
5,0,0,-21.42638506
6,0,0,-21.42638506
7,0,0,-21.42638506
8,0,0,-21.42638506
9,0,0,-21.42638506
10,0,0,-21.42638506
11,0,0,-21.42638506
12,0,0,-21.42638506
13,0.514929184,0,-21.42638506
14,2.911253966,0,-21.42638506
15,7.096452981,0,-21.42638506
16,11.52783769,0,-21.42638506
17,15.17823685,0,-21.42638506
18,18.87203565,0,-21.42638506
19,23.54810646,0,-21.42638506
20,26.78298856,0,-21.42638506
21,28.10248358,0,-21.42638506
22,28.50990533,0,-21.42638506
23,28.74537142,0,-21.42638506
24,29.11108404,0,-21.42638506
25,29.89193074,0,-21.42638506
26,31.39568219,0,-21.42638506
27,32.9818791,0,-21.42638506
28,35.35856377,0,-21.42638506
29,37.92229816,0,-21.42638506
30,40.34169978,0,-21.42638506
31,41.97148632,0,-21.42638506
32,42.96529575,0,-21.42638506
33,43.74759363,0,-21.42638506
34,44.32054009,0,-21.42638506
35,44.67497408,0,-21.42638506
36,44.62857592,0,-21.42638506
37,43.78175255,-56.76759025,35.33251709
38,41.49659884,-101.3706969,79.92879735
39,38.54311554,-101.3706969,79.92879735
40,35.48610937,-101.3706969,79.92879735
41,33.15438265,-101.3706969,79.92879735
42,30.38576789,-101.3706969,79.92879735
43,26.79707438,-101.3706969,79.92879735
44,22.83226008,-101.3706969,79.92879735
45,20.84353902,-44.60310662,23.1698952
46,20.12274653,0,-21.42638506
47,19.58038068,0,-21.42638506
48,18.68681738,0,-21.42638506
49,17.86276817,0,-21.42638506
50,17.56209772,0,-21.42638506
51,17.45905508,0,-21.42638506
52,16.47470852,-56.76759025,35.33251709
53,14.30991918,-101.3706969,79.92879735
54,12.4229433,-44.60310662,23.1698952
55,11.89058585,0,-21.42638506
56,11.83224493,0,-21.42638506
57,11.87751976,0,-21.42638506
58,12.02548493,0,-21.42638506
59,12.3648125,0,-21.42638506
60,13.39681867,0,-21.42638506
61,15.02673195,0,-21.42638506
62,15.69235094,0,-21.42638506
63,16.16249156,0,-21.42638506
64,16.68839696,0,-21.42638506
65,17.50593765,0,-21.42638506
66,18.04960303,0,-21.42638506
67,18.3395809,0,-21.42638506
68,19.31620533,0,-21.42638506
69,21.74325839,0,-21.42638506
70,24.91146336,0,-21.42638506
71,28.25247474,0,-21.42638506
72,31.13463078,0,-21.42638506
73,33.5341894,0,-21.42638506
74,35.14423182,0,-21.42638506
75,36.15232422,0,-21.42638506
76,37.05670227,0,-21.42638506
77,38.06930453,0,-21.42638506
78,39.03137151,0,-21.42638506
79,39.56795362,0,-21.42638506
80,39.44936753,0,-21.42638506
81,38.89584727,0,-21.42638506
82,38.0294345,-20.27413937,-1.15534858
83,37.11890794,-83.12397143,61.68486451
84,36.86131602,0,-21.42638506
85,36.34909227,0,-21.42638506
86,35.61479341,0,-21.42638506
87,34.95474731,0,-21.42638506
88,34.37005168,0,-21.42638506
89,33.05706245,-6.082241812,-15.34507412
90,29.51554158,-101.3706969,79.92879735
91,24.50354554,-101.3706969,79.92879735
92,18.91913023,-101.3706969,79.92879735
93,15.07969474,-101.3706969,79.92879735
94,12.73205001,0,-21.42638506
95,10.26895378,0,-21.42638506
96,7.320704833,0,-21.42638506
97,4.583393602,0,-21.42638506
98,2.793656555,0,-21.42638506
99,0.997027522,0,-21.42638506
100,0.000194439,0,-21.42638506
101,4.86634E-06,0,-21.42638506
102,1.46491E-06,0,-21.42638506
103,6.45837E-07,0,-21.42638506
104,3.38727E-07,0,-21.42638506
105,1.96354E-07,0,-21.42638506
106,1.2146E-07,0,-21.42638506
107,7.86136E-08,0,-21.42638506
108,5.25988E-08,0,-21.42638506
109,3.60904E-08,0,-21.42638506
110,2.52539E-08,0,-21.42638506
111,1.79492E-08,0,-21.42638506
112,1.29192E-08,0,-21.42638506
113,9.39534E-09,0,-21.42638506
114,6.89125E-09,0,-21.42638506
115,5.09073E-09,0,-21.42638506
116,3.78325E-09,0,-21.42638506
117,2.82587E-09,0,-21.42638506
118,2.11988E-09,0,-21.42638506
119,1.59614E-09,0,-21.42638506
120,1.20559E-09,0,-21.42638506
121,9.13073E-10,0,-21.42638506
122,6.93152E-10,0,-21.42638506
123,5.27266E-10,0,-21.42638506
124,3.73491E-10,0,-21.42638506
125,1.52611E-20,0,-21.42638506
126,1.52611E-20,0,-21.42638506
127,1.52611E-20,0,-21.42638506
128,1.52611E-20,0,-21.42638506
129,1.52611E-20,0,-21.42638506
130,1.52611E-20,0,-21.42638506
131,1.52611E-20,0,-21.42638506
132,1.52611E-20,0,-21.42638506
133,1.52611E-20,0,-21.42638506
134,1.52611E-20,0,-21.42638506
135,1.52611E-20,0,-21.42638506
136,1.52611E-20,0,-21.42638506
137,1.47184E-20,0,-21.42638506
138,0,0,-21.42638506
139,0.442124085,0,-189.135418
140,3.292186315,0,-49.37789055
141,8.148139062,0,-21.42638506
142,13.93715788,0,-21.42638506
143,17.60696423,0,-21.42638506
144,19.43394382,0,-21.42638506
145,20.44973453,0,-21.42638506
146,21.84661664,0,-21.42638506
147,24.15130384,0,-21.42638506
148,26.65018872,0,-21.42638506
149,28.59267184,0,-21.42638506
150,29.66818562,0,-21.42638506
151,29.78007734,0,-21.42638506
152,28.44258,-30.41120906,8.980169661
153,24.9218912,-101.3706969,79.92879735
154,19.87990136,-101.3706969,79.92879735
155,15.17464593,-101.3706969,79.92879735
156,12.41339472,-70.95948781,49.52224263
157,12.00089357,0,-21.42638506
158,12.98622753,0,-21.42638506
159,15.29402115,0,-21.42638506
160,18.55866653,0,-21.42638506
161,21.8625365,0,-21.42638506
162,24.68881582,0,-21.42638506
163,26.76908621,0,-21.42638506
164,28.66310508,0,-21.42638506
165,30.34028733,0,-21.42638506
166,31.78884569,0,-21.42638506
167,32.8346522,0,-21.42638506
168,34.27130442,0,-21.42638506
169,36.28593611,0,-21.42638506
170,37.82180785,0,-21.42638506
171,38.02920362,0,-21.42638506
172,36.50662563,-30.41120906,8.980169661
173,33.15700281,-101.3706969,79.92879735
174,29.06362938,-101.3706969,79.92879735
175,26.17785345,-101.3706969,79.92879735
176,24.62169227,-70.95948781,49.52224263
177,25.11418006,0,-21.42638506
178,26.53595461,0,-21.42638506
179,28.3331044,0,-21.42638506
180,29.35642274,0,-21.42638506
181,29.65320764,0,-21.42638506
182,29.47865274,0,-21.42638506
183,28.91701876,0,-21.42638506
184,27.30674925,-30.41120906,8.980169661
185,24.38773122,-101.3706969,79.92879735
186,21.88844972,-101.3706969,79.92879735
187,19.62728369,-70.95948781,49.52224263
188,17.75022973,-30.41120906,8.980169661
189,16.11647164,-70.95948781,49.52224263
190,14.96928129,0,-21.42638506
191,13.95099341,0,-21.42638506
192,13.16882487,0,-21.42638506
193,12.54665203,0,-21.42638506
194,12.20539401,0,-21.42638506
195,11.96878456,0,-21.42638506
196,11.86543573,0,-21.42638506
197,11.89475569,0,-21.42638506
198,11.92819743,0,-21.42638506
199,12.13350543,0,-21.42638506
200,12.67132011,0,-21.42638506
201,13.4153606,0,-21.42638506
202,14.47226499,0,-21.42638506
203,15.72500771,0,-21.42638506
204,17.69306487,0,-21.42638506
205,20.20984777,0,-21.42638506
206,22.66098046,0,-21.42638506
207,25.50806576,0,-21.42638506
208,28.09016654,0,-21.42638506
209,30.67952291,0,-21.42638506
210,33.5926144,0,-21.42638506
211,36.54245062,0,-21.42638506
212,38.62512359,0,-21.42638506
213,40.13038217,0,-21.42638506
214,41.20161206,0,-21.42638506
215,42.2528872,0,-21.42638506
216,43.88763897,0,-21.42638506
217,45.95731548,0,-21.42638506
218,48.11508658,0,-21.42638506
219,49.99717593,0,-21.42638506
220,51.48000708,0,-21.42638506
221,52.5493025,0,-21.42638506
222,53.22083981,0,-21.42638506
223,53.44484854,0,-21.42638506
224,53.62974453,0,-21.42638506
225,53.94841061,0,-21.42638506
226,54.4001359,0,-21.42638506
227,54.9773696,0,-21.42638506
228,55.52476299,0,-21.42638506
229,56.02290823,0,-21.42638506
230,56.41982101,0,-21.42638506
231,56.65145011,0,-21.42638506
232,56.58777085,0,-21.42638506
233,55.93205083,-30.41120906,8.980169661
234,54.16003129,-101.3706969,79.92879735
235,52.10533743,-101.3706969,79.92879735
236,50.16333593,-70.95948781,49.52224263
237,49.24016675,0,-21.42638506
238,48.61488266,0,-21.42638506
239,47.53769715,-30.41120906,8.980169661
240,45.47028995,-101.3706969,79.92879735
241,42.76241067,-101.3706969,79.92879735
242,40.36988789,-101.3706969,79.92879735
243,37.92357321,-101.3706969,79.92879735
244,35.50842151,-101.3706969,79.92879735
245,33.20433907,-101.3706969,79.92879735
246,30.42137961,-101.3706969,79.92879735
247,26.82246265,-101.3706969,79.92879735
248,23.1297047,-101.3706969,79.92879735
249,21.17269017,-70.95948781,49.52224263
250,20.37696649,0,-21.42638506
251,19.75997762,0,-21.42638506
252,18.81371281,0,-21.42638506
253,17.95248892,0,-21.42638506
254,17.6258821,0,-21.42638506
255,17.50349032,0,-21.42638506
256,16.52908253,-30.41120906,8.980169661
257,14.9588572,-72.98690175,51.54934627
258,14.73913337,0,-21.42638506
259,16.32915377,0,-21.42638506
260,19.10810774,0,-21.42638506
261,21.96397696,0,-21.42638506
262,24.58165196,0,-21.42638506
263,27.32129916,0,-21.42638506
264,30.69242757,0,-21.42638506
265,34.08749006,0,-21.42638506
266,37.40860113,0,-21.42638506
267,39.99497726,0,-21.42638506
268,41.9522333,0,-21.42638506
269,43.56638503,0,-21.42638506
270,44.95614322,0,-21.42638506
271,46.12080012,0,-21.42638506
272,46.15100599,0,-21.42638506
273,45.72559229,0,-21.42638506
274,44.77296135,0,-21.42638506
275,42.39193217,-95.28845506,73.8474864
276,39.45521405,-101.3706969,79.92879735
277,36.13359105,-10.13706969,-11.29086682
278,32.51659863,-89.20621324,67.76617546
279,28.01506622,-101.3706969,79.92879735
280,22.69221312,-16.2193115,-5.209555877
281,20.14407049,0,-21.42638506
282,20.83256937,0,-21.42638506
283,24.25714868,0,-21.42638506
284,28.1281119,0,-21.42638506
285,32.00128529,0,-21.42638506
286,35.44540822,0,-21.42638506
287,38.81057077,0,-21.42638506
288,42.26370649,0,-21.42638506
289,45.64264932,0,-21.42638506
290,48.16718308,0,-21.42638506
291,49.64304884,0,-21.42638506
292,49.90172692,0,-21.42638506
293,49.02146164,-58.79500418,37.35962074
294,47.91639055,-44.60310662,23.1698952
295,47.18252456,0,-21.42638506
296,46.74654033,0,-21.42638506
297,46.67101567,0,-21.42638506
298,46.84281577,0,-21.42638506
299,47.13383782,0,-21.42638506
300,47.30280294,0,-21.42638506
301,47.25455292,0,-21.42638506
302,46.95804526,0,-21.42638506
303,46.33606175,0,-21.42638506
304,45.40075611,-36.49345087,15.06148061
305,44.09524514,-101.3706969,79.92879735
306,42.56074158,-101.3706969,79.92879735
307,41.24889406,-70.95948781,49.52224263
308,40.48354191,0,-21.42638506
309,40.05561105,0,-21.42638506
310,39.79625312,0,-21.42638506
311,39.02620888,0,-21.42638506
312,38.52250615,0,-21.42638506
313,37.74012798,0,-21.42638506
314,36.53778502,-16.2193115,-5.209555877
315,35.04354413,-101.3706969,79.92879735
316,33.54980215,-89.20621324,67.76617546
317,32.25624877,-10.13706969,-11.29086682
318,30.7386487,-101.3706969,79.92879735
319,28.88838327,-101.3706969,79.92879735
320,26.93889689,-101.3706969,79.92879735
321,24.94854801,-99.34328293,77.9016937
322,24.57051767,0,-21.42638506
323,24.37928103,0,-21.42638506
324,24.25763164,0,-21.42638506
325,23.84461118,0,-21.42638506
326,23.68855937,0,-21.42638506
327,23.61425702,0,-21.42638506
328,23.35162478,0,-21.42638506
329,21.82682052,-89.20621324,67.76617546
330,18.89714451,-101.3706969,79.92879735
331,17.05948612,-16.2193115,-5.209555877
332,16.66456727,0,-21.42638506
333,16.24445542,0,-21.42638506
334,15.66481452,0,-21.42638506
335,15.25041143,0,-21.42638506
336,14.69959108,0,-21.42638506
337,14.32019736,0,-21.42638506
338,14.28068264,0,-21.42638506
339,14.78257191,0,-21.42638506
340,16.35087379,0,-21.42638506
341,19.30660067,0,-21.42638506
342,22.69374757,0,-21.42638506
343,24.79998333,0,-21.42638506
344,25.38868922,0,-21.42638506
345,25.58274256,0,-21.42638506
346,26.04974335,0,-21.42638506
347,26.61196109,0,-21.42638506
348,26.92282827,0,-21.42638506
349,27.64588939,0,-21.42638506
350,28.09582513,0,-21.42638506
351,28.34763618,0,-21.42638506
352,28.33749178,0,-21.42638506
353,28.19045975,0,-21.42638506
354,28.04478588,0,-21.42638506
355,27.94737836,0,-21.42638506
356,27.99533831,0,-21.42638506
357,28.15365359,0,-21.42638506
358,28.15700231,0,-21.42638506
359,27.60300015,-28.38379512,6.953066013
360,26.03865092,-101.3706969,79.92879735
361,23.58572612,-77.04172962,55.60355357
362,22.12527827,0,-21.42638506
363,21.15525029,0,-21.42638506
364,20.61966549,0,-21.42638506
365,20.46241585,0,-21.42638506
366,20.57168569,0,-21.42638506
367,20.85886224,0,-21.42638506
368,21.53219398,0,-21.42638506
369,22.7094596,0,-21.42638506
370,23.89395122,0,-21.42638506
371,24.44613095,0,-21.42638506
372,24.23254205,0,-21.42638506
373,22.61352136,0,-21.42638506
374,19.46466556,-101.3706969,79.92879735
375,15.96446805,-101.3706969,79.92879735
376,13.04326719,-101.3706969,79.92879735
377,11.05836552,-4.054827875,-17.37217777
378,9.535268487,0,-21.42638506
379,8.426170085,0,-21.42638506
380,7.571700899,0,-21.42638506
381,6.61196732,0,-21.42638506
382,5.453617047,0,-21.42638506
383,4.247574978,0,-21.42638506
384,2.940186268,0,-21.42638506
385,1.536728897,0,-21.42638506
386,0.400029826,0,-21.42638506
387,0.000135569,0,-21.42638506
388,4.69022E-06,0,-21.42638506
389,1.43241E-06,0,-21.42638506
390,6.35038E-07,0,-21.42638506
391,3.34131E-07,0,-21.42638506
392,2.21484E-07,0,-21.42638506
393,0.453418275,0,-185.1423458
394,2.754406043,0,-53.37096277
395,5.944874453,0,-21.42638506
396,10.057263,0,-21.42638506
397,14.55956512,0,-21.42638506
398,18.78968951,0,-21.42638506
399,22.73265175,0,-21.42638506
400,25.22198069,0,-21.42638506
401,25.93135399,0,-21.42638506
402,25.52314288,0,-21.42638506
403,24.28508733,-50.68534843,29.25120614
404,22.55539563,-52.71276237,31.27830979
405,20.94581172,-46.63052056,25.19699885
406,19.44367519,-56.76759025,35.33251709
407,17.83903711,-42.57569268,21.14279155
408,16.085063,-60.82241812,39.38672438
409,14.72883503,0,-21.42638506
410,13.93368941,0,-21.42638506
411,13.78912096,0,-21.42638506
412,13.96336904,0,-21.42638506
413,14.24766214,0,-21.42638506
414,14.62563863,0,-21.42638506
415,15.29598542,0,-21.42638506
416,16.54748952,0,-21.42638506
417,18.03977253,0,-21.42638506
418,19.01721202,-20.27413937,-1.15534858
419,19.02754243,-101.3706969,79.92879735
420,18.30206507,-101.3706969,79.92879735
421,17.1302405,-101.3706969,79.92879735
422,16.34109292,-101.3706969,79.92879735
423,16.17304093,-101.3706969,79.92879735
424,16.64690477,-101.3706969,79.92879735
425,17.97563615,-101.3706969,79.92879735
426,20.76710784,-101.3706969,79.92879735
427,25.03840698,-101.3706969,79.92879735
428,29.64992799,-101.3706969,79.92879735
429,32.83612892,-101.3706969,79.92879735
430,33.91033466,-101.3706969,79.92879735
431,33.60662062,-101.3706969,79.92879735
432,32.69022618,-101.3706969,79.92879735
433,31.79082871,-101.3706969,79.92879735
434,31.26613062,-101.3706969,79.92879735
435,30.91069018,-101.3706969,79.92879735
436,30.0363842,-101.3706969,79.92879735
437,28.05370553,-101.3706969,79.92879735
438,24.54846156,-101.3706969,79.92879735
439,20.28033638,-101.3706969,79.92879735
440,15.23164531,-101.3706969,79.92879735
441,10.04137768,-101.3706969,79.92879735
442,5.569467009,-101.3706969,79.92879735
443,2.395415284,-54.74017631,33.30541344
444,0.627615072,0,-21.42638506
445,0.037516594,0,-21.42638506
446,0.000108827,0,-21.42638506
447,4.55865E-06,0,-21.42638506
448,1.40763E-06,0,-21.42638506
449,6.26745E-07,0,-21.42638506
450,3.3046E-07,0,-21.42638506
451,1.92195E-07,0,-21.42638506
452,1.19153E-07,0,-21.42638506
453,7.72449E-08,0,-21.42638506
454,5.17452E-08,0,-21.42638506
455,3.55376E-08,0,-21.42638506
456,2.48854E-08,0,-21.42638506
457,1.76976E-08,0,-21.42638506
458,1.27442E-08,0,-21.42638506
459,9.27172E-09,0,-21.42638506
460,6.80281E-09,0,-21.42638506
461,5.02677E-09,0,-21.42638506
462,3.73658E-09,0,-21.42638506
463,2.79156E-09,0,-21.42638506
464,2.09449E-09,0,-21.42638506
465,1.57724E-09,0,-21.42638506
466,1.19146E-09,0,-21.42638506
467,9.02471E-10,0,-21.42638506
468,6.85165E-10,0,-21.42638506
469,5.21232E-10,0,-21.42638506
470,3.55026E-10,0,-21.42638506
471,-2.34959E-20,0,-21.42638506
472,-2.34959E-20,0,-21.42638506
473,-2.34959E-20,0,-21.42638506
474,-2.34959E-20,0,-21.42638506
475,-2.34959E-20,0,-21.42638506
476,-2.34959E-20,0,-21.42638506
477,-2.34959E-20,0,-21.42638506
478,-2.34959E-20,0,-21.42638506
479,-2.34959E-20,0,-21.42638506
480,-2.34959E-20,0,-21.42638506
481,-2.34959E-20,0,-21.42638506
482,-2.34959E-20,0,-21.42638506
483,-2.34959E-20,0,-21.42638506
484,-2.34959E-20,0,-21.42638506
485,-2.34959E-20,0,-21.42638506
486,-2.34959E-20,0,-21.42638506
487,-2.34959E-20,0,-21.42638506
488,-2.34959E-20,0,-21.42638506
489,-2.34959E-20,0,-21.42638506
490,-2.34959E-20,0,-21.42638506
491,-2.34959E-20,0,-21.42638506
492,-2.34959E-20,0,-21.42638506
493,-2.34959E-20,0,-21.42638506
494,-2.34959E-20,0,-21.42638506
495,-2.34959E-20,0,-21.42638506
496,-2.34959E-20,0,-21.42638506
497,-2.34959E-20,0,-21.42638506
498,-2.34959E-20,0,-21.42638506
499,-2.34959E-20,0,-21.42638506
500,-2.34959E-20,0,-21.42638506
501,-2.34959E-20,0,-21.42638506
502,-2.34959E-20,0,-21.42638506
503,-2.34959E-20,0,-21.42638506
504,-2.34959E-20,0,-21.42638506
505,-2.34959E-20,0,-21.42638506
506,-2.34959E-20,0,-21.42638506
507,-2.34959E-20,0,-21.42638506
508,-2.34959E-20,0,-21.42638506
509,-2.34959E-20,0,-21.42638506
510,-2.34959E-20,0,-21.42638506
511,-2.26604E-20,0,-21.42638506
512,0,0,-21.42638506
513,0.320404868,-75.12138501,-110.1395883
514,2.799262668,-101.393847,47.98420281
515,5.693074589,-101.3706969,79.92879724
516,9.830467397,-101.3706969,79.92879724
517,15.06943006,-101.3706969,79.92879733
518,18.5262629,-101.3706969,79.92879735
519,20.28891858,-101.3706969,79.92879735
520,20.5387705,-101.3706969,79.92879735
521,20.06479952,-101.3706969,79.92879735
522,19.21006063,-101.3706969,79.92879735
523,18.1045813,-101.3706969,79.92879735
524,16.40629193,-101.3706969,79.92879735
525,13.48273563,-101.3706969,79.92879735
526,9.592823592,-101.3706969,79.92879735
527,5.706850863,-101.3706969,79.92879735
528,2.913867724,-75.01431568,53.57644992
529,1.424105773,0,-21.42638506
530,0.439223626,0,-21.42638506
531,0.000185854,0,-21.42638506
532,4.84899E-06,0,-21.42638506
533,2.10629E-06,0,-21.42638506
534,0.053282816,-75.12138501,-110.1395883
535,1.360798062,-101.393847,47.98420281
536,3.583555951,-101.3706969,79.92879724
537,6.127380968,-101.3706969,79.92879724
538,10.39731286,-101.3706969,79.92879724
539,16.12084811,-101.3706969,79.92879724
540,21.15166976,-101.3706969,79.92879724
541,24.13753206,-101.3706969,79.92879724
542,24.86160697,-101.3706969,79.92879724
543,24.67652052,-101.3706969,79.92879724
544,24.15976106,-101.3706969,79.92879724
545,23.10809875,-101.3706969,79.92879724
546,21.3182001,-101.3706969,79.92879724
547,19.32351871,-101.3706969,79.92879724
548,17.79732423,-101.3706969,79.92879724
549,16.63940514,-101.3706969,79.92879724
550,15.73512385,-101.3706969,79.92879724
551,14.91933772,-101.3706969,79.92879724
552,14.3487517,-101.3706969,79.92879724
553,13.88378199,-101.3706969,79.92879724
554,13.37244365,-101.3706969,79.92879724
555,13.05666379,-101.3706969,79.92879724
556,12.95156866,-101.3706969,79.92879724
557,13.06430125,-101.3706969,79.92879724
558,13.43136924,-101.3706969,79.92879724
559,14.07471052,-101.3706969,79.92879724
560,15.3654285,-101.3706969,79.92879724
561,16.87019223,-101.3706969,79.92879724
562,17.19280968,-101.3706969,79.92879724
563,17.14748439,-101.3706969,79.92879724
564,16.42850284,-101.3706969,79.92879724
565,12.93586712,-101.3706969,79.92879724
566,7.54272984,-101.3706969,79.92879724
567,2.511476025,-68.93207387,47.4951389
568,0.000266022,0,-21.42638506
569,4.98109E-06,0,-21.42638506
570,1.4857E-06,0,-21.42638506
571,6.52694E-07,0,-21.42638506
572,3.4168E-07,0,-21.42638506
573,1.97835E-07,0,-21.42638506
574,1.22279E-07,0,-21.42638506
575,7.9099E-08,0,-21.42638506
576,5.29011E-08,0,-21.42638506
577,3.62859E-08,0,-21.42638506
578,2.53843E-08,0,-21.42638506
579,1.80381E-08,0,-21.42638506
580,1.2981E-08,0,-21.42638506
581,9.43897E-09,0,-21.42638506
582,6.92246E-09,0,-21.42638506
583,5.11329E-09,0,-21.42638506
584,3.79971E-09,0,-21.42638506
585,2.83797E-09,0,-21.42638506
586,2.12883E-09,0,-21.42638506
587,1.60279E-09,0,-21.42638506
588,1.21056E-09,0,-21.42638506
589,9.16805E-10,0,-21.42638506
590,6.95963E-10,0,-21.42638506
591,5.29389E-10,0,-21.42638506
592,3.74985E-10,0,-21.42638506
593,-1.52611E-20,0,-21.42638506
594,-1.52611E-20,0,-21.42638506
595,-1.52611E-20,0,-21.42638506
596,-1.52611E-20,0,-21.42638506
597,-1.52611E-20,0,-21.42638506
598,-1.52611E-20,0,-21.42638506
599,-1.52611E-20,0,-21.42638506
600,-1.47184E-20,0,-21.42638506
601,0.013021969,-75.12138501,-110.1395883
602,0.817954719,-101.393847,47.98420281
603,2.734175011,-101.3706969,79.92879724
604,5.607924081,-101.3706969,79.92879724
605,9.629338379,-101.3706969,79.92879724
606,15.9197449,-101.3706969,79.92879724
607,21.54722487,-101.3706969,79.92879724
608,27.2828177,-101.3706969,79.92879724
